wavelength,Intensity
605.721,5.57824
605.939,4.79211
606.156,5.01529
606.374,4.19878
606.591,4.24955
606.809,4.25461
607.026,4.61467
607.244,3.89452
607.461,3.38227
607.679,3.64094
607.896,3.36706
608.113,3.39751
608.331,3.05773
608.548,2.9106
608.766,2.82436
608.983,2.45918
609.2,2.21577
609.418,2.97153
609.635,2.55054
609.852,2.57083
610.069,2.72806
610.287,2.50996
610.504,3.12879
610.721,2.79911
610.938,3.22007
611.155,3.09833
611.373,2.77371
611.59,3.0121
611.807,3.28598
612.024,3.37727
612.241,2.55052
612.458,3.08306
612.675,3.10842
612.892,3.23018
613.109,2.66722
613.326,2.38321
613.543,3.03753
613.76,3.28603
613.977,3.29111
614.194,3.22011
614.411,3.51935
614.628,3.62082
614.845,3.78818
615.062,3.75771
615.279,3.97581
615.496,3.63093
615.713,3.87437
615.93,4.12799
616.146,3.89977
616.363,4.11283
616.58,3.99618
616.797,4.4273
617.014,4.14325
617.23,4.34607
617.447,4.34603
617.664,4.76699
617.88,5.35025
618.097,5.00534
618.314,4.65032
618.53,4.62497
618.747,4.10767
618.964,3.95552
619.18,3.70697
619.397,3.8439
619.613,3.65116
619.83,3.65622
620.047,3.8388
620.263,3.91996
620.48,3.78809
620.696,3.28092
620.913,3.00699
621.129,3.10336
621.345,2.98671
621.562,2.35271
621.778,2.22595
621.995,1.65279
622.211,1.57165
622.427,0.5674
622.644,1.00355
622.86,0.66369
623.076,0.52675
623.293,1.10999
623.509,1.22666
623.725,1.37886
623.942,1.44481
624.158,1.2825
624.374,1.19628
624.59,0.98834
624.806,0.80071
625.023,1.06444
625.239,1.39412
625.455,1.53106
625.671,1.4144
625.887,1.74404
626.103,1.99767
626.319,1.62741
626.535,1.7796
626.751,1.86042
626.967,2.56539
627.183,2.34733
627.399,2.50965
627.615,2.76323
627.831,2.62121
628.047,2.46396
628.263,2.49431
628.479,2.06319
628.695,2.08856
628.911,2.10378
629.127,1.79942
629.343,1.26174
629.558,0.76471
629.774,0.364
629.99,0.47556
630.206,0.59222
630.422,0.20679
630.637,0.38938
630.853,0.41981
631.069,0.96757
631.285,0.74981
631.5,0.32383
631.716,0.02459
631.932,0.08039
632.147,-0.35072
632.363,-0.15293
632.579,-0.19858
632.794,-0.23407
633.01,-0.33045
633.225,-0.18845
633.441,-0.26961
633.656,0.45067
633.872,0.66878
634.087,1.65271
634.303,1.86575
634.518,1.75926
634.734,1.70854
634.949,1.64261
635.165,1.8455
635.38,2.60127
635.595,2.44913
635.811,2.53536
636.026,2.89546
636.241,2.7788
636.457,2.99691
636.672,2.98677
636.887,3.30634
637.103,3.60559
637.318,3.85922
637.533,4.00124
637.748,3.93531
637.964,3.61577
638.179,3.43826
638.394,3.43319
638.609,2.61154
638.824,2.58619
639.039,2.31738
639.255,2.5101
639.47,2.63182
639.685,2.43403
639.9,2.13986
640.115,1.59719
640.33,1.76456
640.545,1.91673
640.76,1.94208
640.975,2.12469
641.19,2.3783
641.405,2.07394
641.62,1.89134
641.835,1.04941
642.05,1.71892
642.264,2.03844
642.479,2.58623
642.694,2.59131
642.909,2.52537
643.124,2.20586
643.339,2.29208
643.553,1.98276
643.768,2.28706
643.983,2.3733
644.198,2.29721
644.412,2.22106
644.627,2.6775
644.842,2.64201
645.056,2.74853
645.271,2.69781
645.486,2.32753
645.7,2.25652
645.915,2.00294
646.13,2.20073
646.344,2.77383
646.559,1.97755
646.773,1.66311
646.988,2.06372
647.202,1.16085
647.417,1.54626
647.631,2.13965
647.846,2.31717
648.06,2.38805
648.275,2.09898
648.489,1.77435
648.703,1.84029
648.918,1.49541
649.132,1.44469
649.347,1.75408
649.561,1.29251
649.775,1.48018
649.99,1.83523
650.204,1.92654
650.418,2.1548
650.632,2.14463
650.847,2.07871
651.061,2.53515
651.275,2.73297
651.489,2.20555
651.703,2.8548
651.917,2.67226
652.132,2.39331
