lambda,0,30,60,90,120,150
418.198,108.12024,32.25298,6.8744,58.73512,138.09821,163.67024
418.428,109.11071,32.41964,6.8744,59.77321,140.11726,165.675
418.658,109.73452,32.25774,6.91726,60.81607,141.71726,167.00833
418.887,110.64881,31.76726,7.13155,61.64464,143.41726,168.85595
419.117,111.12024,31.25298,6.82679,61.78274,144.71726,170.03214
419.346,111.825,30.91012,6.44583,62.8494,146.99821,172.16548
419.576,111.99643,30.45298,6.10774,63.63512,148.54107,173.32738
419.805,111.82024,30.09583,5.86012,64.41131,150.04107,174.78929
420.035,112.54881,29.65774,5.7125,65.53988,152.02679,176.97976
420.264,112.94405,30.01488,5.9125,66.56845,154.50298,179.19405
420.494,113.41548,29.8244,6.23155,67.55893,156.22202,181.55595
420.723,114.11071,29.41488,6.35536,68.95893,158.2744,183.85119
420.953,114.67262,29.01488,6.36012,70.06369,160.83631,185.92262
421.182,115.5631,29.13393,6.15536,71.2494,163.34583,188.27976
421.412,116.825,29.44345,6.22679,73.13988,166.09345,190.66071
421.641,117.1869,29.29583,5.67917,73.6875,168.2125,192.59405
421.871,118.21548,29.53869,5.98869,75.16369,170.86012,194.99405
422.1,118.94405,29.54821,6.20774,76.63512,172.98869,197.16548
422.329,119.8631,29.77679,7.04107,78.31607,175.20298,199.29405
422.559,120.91548,29.71964,7.68869,79.56845,177.84583,202.32738
422.788,121.36786,29.6006,7.3744,80.25417,179.8744,203.90833
423.017,122.1869,29.69583,7.49821,82.1256,182.22202,205.91786
423.247,122.97738,29.59107,8.03155,83.79702,185.18393,208.50357
423.476,124.03452,29.47202,8.06488,85.52083,188.11726,210.92262
423.705,125.125,29.3244,8.2744,87.07321,190.69821,213.57976
423.935,125.9631,29.27202,8.86964,89.0875,193.56488,215.95595
424.164,126.95357,28.94821,9.00298,90.1875,195.69345,218.22262
424.393,128.0869,29.14345,9.40774,92.23036,199.21726,221.66071
424.622,130.04405,29.11012,10.03631,94.27321,202.84583,225.02262
424.852,130.61548,29.04345,10.66488,95.93512,205.46012,226.89405
425.081,131.67738,28.95298,10.62679,98.16845,208.72202,229.7131
425.31,132.7631,28.94821,10.95536,100.11131,212.05536,232.4369
425.539,133.76786,29.07202,11.40298,101.73512,215.53155,235.1369
425.768,134.96786,29.24345,11.82679,103.87798,219.18869,238.40357
425.998,136.16786,29.08155,12.28393,106.20655,222.96012,241.45595
426.227,137.17738,29.01964,12.73631,108.46845,226.6125,244.69405
426.456,138.97738,28.78155,13.56012,110.80655,230.09345,247.70357
426.685,139.94405,28.67679,14.2125,112.91131,232.88869,249.96071
426.914,141.25833,28.87679,14.39821,115.18274,236.16012,252.57976
427.143,142.325,28.62917,14.22679,116.83988,239.6506,255.4369
427.372,143.84881,28.90536,14.76012,119.5256,243.16488,258.55119
427.601,145.325,29.11012,15.52679,122.79702,247.34583,262.64167
427.831,146.425,28.61488,15.65536,124.51607,251.07917,265.675
428.06,147.81071,28.27679,15.73155,126.70179,254.58869,268.70357
428.289,149.68214,28.34345,16.66488,129.53512,258.7506,272.18929
428.518,150.79643,28.58155,17.08393,132.23988,262.78393,275.4369
428.747,151.75833,28.78155,17.46012,134.63036,266.98869,279.04167
428.976,153.59643,29.49583,18.45536,137.60179,271.70774,282.82738
429.205,154.69643,29.25774,19.06488,139.90179,275.1744,285.80833
429.434,155.52024,29.10536,19.66012,142.68274,277.94107,288.27976
429.663,157.025,29.07202,20.06488,144.97798,281.33155,291.32738
429.892,158.22024,28.8625,20.55536,147.37798,284.62202,293.35595
430.12,159.34881,28.81488,21.13155,150.2494,288.79345,296.52262
430.349,160.29167,28.64345,21.32679,152.69702,292.63631,299.17976
430.578,161.85833,28.6625,21.65536,155.4875,296.5125,302.35119
430.807,163.12024,28.44821,22.43631,158.3494,300.1125,305.40357
431.036,164.14405,28.05774,23.03155,160.93988,303.33631,308.0369
431.265,164.71071,27.7006,23.41726,163.4494,306.78869,310.91786
431.494,165.87262,27.29583,23.96488,166.32083,311.36488,314.7369
431.723,167.04881,26.80536,24.7125,169.03512,315.5506,318.05595
431.951,168.09643,26.52917,25.68393,171.7875,318.8744,320.35595
432.18,168.64405,26.35298,26.39345,174.23036,322.55536,322.60357
432.409,169.53452,26.22917,27.13155,176.89226,325.88393,324.90357
432.638,170.26786,25.92917,27.58869,179.45893,328.80298,327.34643
432.867,170.9869,25.9625,28.36488,182.15893,332.49345,329.88452
433.095,171.52976,26.07679,29.2125,184.2256,336.03631,332.55595
433.324,171.98214,25.6244,29.68869,186.62083,339.4506,334.92262
433.553,172.4631,25.21488,29.77917,189.0256,342.2744,336.875
433.782,172.37262,24.59583,30.45536,191.71131,345.19821,339.1131
434.01,173.26786,24.48631,31.64107,194.59226,349.16012,341.50833
434.239,173.61548,24.38155,32.04107,196.63036,353.12679,343.56548
434.468,173.76786,24.13869,32.88869,199.39702,357.10298,346.05119
434.696,174.32976,24.03393,34.2744,202.12083,360.42202,349.075
434.925,174.50119,23.70536,34.87917,204.33512,363.45536,351.01786
435.154,175.425,23.87679,36.20774,207.3494,366.96964,353.86548
435.382,174.93452,23.19107,36.93631,209.25417,369.06488,354.875
435.611,175.08214,22.79107,37.6125,211.16845,371.90298,356.38929
435.839,175.65833,22.95774,38.92679,213.39702,375.80298,358.60357
436.068,175.72976,23.22917,40.13631,216.05893,378.98869,360.08929
436.297,175.61548,22.85298,40.96964,218.27798,381.88393,361.40833
436.525,175.525,22.75298,42.09345,220.80655,384.62202,363.50833
436.754,175.5869,22.5625,42.80298,223.20655,388.40774,366.24167
436.982,175.64405,21.91488,43.58393,225.30655,390.68869,367.69881
437.211,175.925,21.3244,44.62679,227.73988,394.44107,369.7369
437.439,176.19167,21.4006,46.00298,230.87321,397.88869,372.12738
437.668,176.45833,21.13393,47.16488,233.32083,400.70774,374.1131
437.896,176.29167,20.95774,47.98869,235.93988,402.90774,375.62738
438.125,176.77262,21.14821,49.29345,238.59226,406.1744,377.6131
438.353,176.625,20.78155,50.23631,240.93036,408.95536,379.2131
438.582,176.61071,20.48631,50.86488,243.28274,412.08869,380.62738
438.81,176.39643,20.49107,51.59345,245.56369,414.12679,382.64167
439.039,176.22976,20.58155,52.84107,248.56369,416.54107,384.60833
439.267,176.69643,20.2006,53.5125,251.1494,419.4506,386.575
439.495,176.94881,19.94821,54.36964,253.91607,422.73631,388.54643
439.724,177.02976,19.57679,55.19821,256.8875,425.7744,390.47024
439.952,176.79167,19.15298,56.22679,259.74464,428.70298,392.22738
440.18,177.07262,19.23869,57.38393,262.70655,431.98869,394.54643
440.409,176.85357,19.18155,58.29345,265.97321,434.72202,396.77976
440.637,176.64405,18.45774,59.03631,269.21607,437.12679,398.18452
440.865,176.72976,17.74345,59.42679,272.12083,440.5744,400.48452
441.094,176.8869,17.46726,59.9744,275.1494,443.73155,402.57024
441.322,176.90119,17.19583,60.65536,277.54464,447.17917,404.01786
441.55,177.68214,17.26726,61.9125,280.95893,450.43155,405.91786
441.778,178.4631,17.38631,62.87917,284.65893,454.83155,408.50357
442.007,178.78214,17.41964,64.13155,288.1494,458.4506,410.68929
442.235,179.23929,17.11488,65.4506,291.27321,462.2744,413.00833
442.463,179.25357,17.1006,66.78393,295.01607,465.8125,414.82738
442.691,179.61071,16.88155,68.14583,298.99702,470.7125,417.58452
442.92,179.44881,16.24345,69.50298,302.8494,474.69345,420.24167
443.148,180.05357,15.78155,71.06488,306.63988,479.5744,423.0131
443.376,180.59167,15.31488,72.53155,310.6494,484.40774,425.91786
443.604,180.90119,14.88155,74.10298,314.51607,489.14583,428.17976
443.832,181.95357,14.5244,75.99345,318.8875,495.12202,431.96071
444.06,182.4631,14.39107,77.73155,323.39226,500.30774,435.075
444.288,182.91548,14.27679,79.11726,327.2494,504.66488,437.55119
444.516,183.57738,14.1244,80.7744,331.2494,509.47917,440.96071
444.745,184.42976,13.78631,81.96488,335.1256,513.99345,444.14643
444.973,185.30119,13.34821,83.2506,339.39226,519.64107,447.575
445.201,186.29167,12.98155,84.78393,343.8494,525.79345,451.13214
