lambda,intensity
549.739,92.37827
549.961,92.50685
550.182,92.75923
550.403,92.85446
550.625,92.56399
550.846,92.63065
551.068,92.39256
551.289,92.66875
551.51,92.79256
551.732,93.06399
551.953,93.21637
552.174,93.44494
552.396,93.40208
552.617,93.77351
552.838,93.78304
553.059,93.80685
553.281,93.70208
553.502,93.37351
553.723,93.45923
553.944,93.34018
554.166,93.4878
554.387,93.4878
554.608,93.54018
554.829,93.54018
555.05,93.40685
555.271,93.54018
555.492,93.80208
555.713,94.12113
555.934,93.87827
556.155,93.83065
556.376,93.45446
556.597,93.52589
556.818,93.77827
557.039,94.02113
557.26,94.26875
557.481,94.4878
557.702,94.29732
557.923,94.59256
558.144,94.65923
558.365,94.72589
558.586,94.57351
558.807,94.38304
559.028,94.51161
559.248,94.09256
559.469,93.80208
559.69,93.90685
559.911,93.84494
560.132,93.3878
560.352,93.3497
560.573,93.33542
560.794,93.53065
561.015,93.29732
561.235,93.10208
561.456,92.82589
561.677,92.47351
561.897,92.19732
562.118,92.21637
562.339,92.42589
562.559,92.40208
562.78,92.33065
563.0,91.86399
563.221,92.04494
563.441,92.02113
563.662,92.03542
563.882,92.3497
564.103,92.65923
564.323,92.91161
564.544,93.4878
564.764,93.57827
564.985,93.55923
565.205,93.39732
565.426,93.2878
565.646,93.67827
565.866,93.75923
566.087,94.05923
566.307,94.24494
566.528,94.14494
566.748,93.94494
566.968,94.10208
567.188,94.02589
567.409,94.11637
567.629,94.8878
567.849,94.97827
568.069,94.82589
568.29,94.5878
568.51,94.75923
568.73,94.90685
568.95,94.94018
569.17,94.35923
569.39,94.70208
569.611,94.77351
569.831,94.82113
570.051,94.84018
570.271,94.71161
570.491,94.59732
570.711,94.46875
570.931,94.72113
571.151,94.93065
571.371,94.93542
571.591,94.60208
571.811,94.74018
572.031,94.61637
572.251,93.97351
572.471,93.93542
572.691,93.87351
572.911,94.0878
573.131,93.90208
573.35,93.99732
573.57,93.74494
573.79,93.81637
574.01,93.86399
574.23,93.68304
574.449,93.6497
574.669,93.61161
574.889,93.52589
575.109,93.47827
575.328,93.34494
575.548,93.03065
575.768,92.87351
575.988,92.62113
576.207,92.59732
576.427,92.66875
576.647,93.02589
576.866,93.39732
577.086,93.53065
577.305,93.73542
577.525,93.5497
577.744,93.53542
577.964,93.41637
578.184,93.40208
578.403,93.34018
578.623,92.97351
578.842,93.14494
579.062,93.29732
579.281,93.23542
579.5,93.39732
579.72,93.56399
579.939,93.34018
580.159,93.52589
580.378,93.64018
580.597,93.91637
580.817,94.17827
581.036,93.90685
581.255,93.73542
581.475,93.76399
581.694,93.82113
581.913,93.59732
582.132,93.94018
582.352,94.03065
582.571,94.13542
582.79,94.50685
583.009,94.84494
583.229,95.03065
583.448,94.89732
583.667,94.83542
583.886,95.07351
584.105,94.9497
584.324,94.85923
584.543,95.24018
584.762,95.00208
584.981,95.17351
585.2,95.49256
585.419,95.31161
585.638,95.47827
585.857,95.57827
586.076,95.4878
586.295,95.24494
586.514,95.24018
586.733,95.02589
586.952,94.86399
587.171,94.88304
587.39,94.56399
587.609,94.50208
587.828,94.47827
588.047,94.49732
588.265,94.78304
588.484,94.59732
588.703,94.82589
588.922,94.85923
589.141,94.7497
589.359,94.85923
589.578,94.68304
589.797,94.19732
590.015,94.12589
590.234,94.20685
590.453,94.14494
590.671,93.99732
590.89,93.93542
591.109,93.91161
591.327,94.09256
591.546,94.10685
591.764,93.8878
591.983,93.92113
592.202,93.65446
592.42,93.97351
592.639,94.05446
592.857,93.93542
593.076,93.71161
593.294,93.44018
593.513,93.47351
593.731,93.55923
593.949,93.40208
594.168,94.14018
594.386,94.57827
594.605,94.66399
594.823,94.46399
595.041,94.39256
595.26,94.45446
595.478,94.62113
595.696,94.77827
595.914,94.76399
596.133,95.14018
596.351,95.36399
596.569,95.39256
596.787,95.35923
597.006,95.20685
597.224,95.00208
597.442,94.94494
597.66,94.96875
597.878,95.24494
598.096,95.27351
598.315,95.14018
598.533,95.49256
598.751,94.81637
598.969,94.56399
599.187,94.43065
599.405,94.54018
599.623,94.7497
599.841,94.71161
600.059,94.61637
600.277,94.61637
600.495,94.6878
600.713,94.54018
600.931,94.51161
601.149,94.46399
601.366,94.6497
601.584,94.66399
601.802,95.23542
602.02,95.19732
602.238,95.18304
602.456,94.99256
602.674,94.77351
602.891,94.89732
603.109,94.76399
603.327,94.73542
603.545,94.78304
603.762,95.01161
603.98,94.98304
604.198,94.94494
604.415,95.14018
604.633,95.21637
604.851,95.24494
605.068,95.01161
605.286,95.05446
605.503,95.17827
605.721,95.14018
605.939,95.03542
606.156,95.26875
606.374,94.82113
606.591,94.82113
606.809,95.12589
607.026,95.21637
607.244,95.52589
607.461,95.50208
607.679,95.47351
607.896,95.32113
608.113,95.23065
608.331,94.96399
608.548,94.98304
608.766,94.66875
608.983,94.37351
609.2,94.45923
609.418,94.42589
609.635,94.39256
609.852,94.29732
610.069,94.05446
610.287,94.94018
610.504,95.04018
610.721,94.79732
610.938,95.0878
611.155,95.15923
611.373,94.90685
611.59,94.91637
611.807,94.75446
612.024,94.80208
612.241,94.87351
612.458,94.67351
612.675,94.65923
612.892,94.89256
613.109,94.95446
613.326,95.25446
613.543,95.53065
613.76,95.46875
613.977,95.6878
614.194,95.71161
614.411,95.64018
614.628,95.40208
614.845,94.65446
615.062,94.76399
615.279,94.62113
615.496,94.21637
615.713,94.23065
615.93,94.4878
616.146,94.35446
616.363,94.61637
616.58,94.51637
616.797,94.30208
617.014,94.76875
617.23,94.84018
617.447,94.91637
617.664,94.8878
617.88,94.82589
618.097,94.63542
618.314,94.56399
618.53,94.2878
618.747,94.40685
618.964,94.45923
619.18,94.72589
619.397,94.50208
619.613,94.34494
619.83,94.35923
620.047,94.56399
620.263,94.80208
620.48,94.89732
620.696,95.26875
620.913,95.01161
621.129,95.09256
621.345,95.16399
621.562,95.08304
621.778,95.32589
621.995,94.8497
622.211,94.95923
622.427,94.96875
622.644,95.19732
622.86,95.32113
623.076,95.20208
623.293,95.20208
623.509,95.47351
623.725,95.24494
623.942,95.26875
624.158,95.17351
624.374,95.17351
624.59,94.93542
624.806,94.27351
625.023,94.00685
625.239,93.81637
625.455,94.09256
625.671,94.16399
625.887,94.26399
626.103,94.36399
626.319,94.03065
626.535,94.58304
626.751,100.79256
626.967,101.40208
627.183,101.24494
627.399,101.06875
627.615,101.25446
627.831,101.26399
628.047,100.96875
628.263,101.33542
628.479,101.52589
628.695,101.6878
628.911,101.75923
629.127,102.13065
629.343,102.44494
